"NCU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",725.397249679011,1.11802004969477,0.138587440563288,8.067253750777,7.18970209986579e-16,1.08591212675527e-14
"NCU09901",492.744655806283,-0.0514150711052177,0.177467036011087,-0.289716176372077,0.772033379881932,0.811629101121432
"NCU09903",958.288765056672,0.266950925894825,0.16887910470742,1.58072205769513,0.113941602634207,0.156868663313385
"NCU11134",9.369215778412,1.60843923320713,0.766119067510551,2.09946377974072,0.0357760374818912,0.058023071427994
"NCU09904",1823.65329922196,0.601650654919847,0.451586672853538,1.33230383243613,0.182760368309103,0.237000653055811
"NCU09906",6878.34610483259,-0.144189652502962,0.500521818357964,-0.288078655543923,0.773286530775389,0.812858939967192
"NCU09907",54.4394851927893,5.01158512469262,0.532239761415151,9.41602918084796,4.68470129026205e-21,1.27322090498849e-19
"NCU09908",6.04994327640963,1.87297872075222,1.11922820591593,1.67345561061826,0.0942376381168905,0.13314170795055
"NCU09909",1982.64276089097,2.65795407239942,0.374187256794555,7.1032725570843,1.21836784557483e-12,1.18876150692736e-11
"NCU09910",496.721987436997,-0.0794737281895572,0.120136052605353,-0.661531043063554,0.508271813365654,0.573134833656837
"NCU09911",4061.49767695739,1.36769026920331,0.214816969677216,6.36677014510723,1.93050141476183e-10,1.35121250386163e-09
"NCU09912",666.892270687027,0.149285961613574,0.115072476841449,1.29732118149561,0.194520699317151,0.250156644686627
"NCU09913",357.643220649801,1.76910360597909,0.201985177895698,8.75858131972747,1.97723054042857e-18,4.01077721059492e-17
"NCU09914",134.603537736269,2.59419994292245,0.242633499345816,10.6918457258247,1.11136945424672e-26,5.02019989124315e-25
"NCU10501",18.8526242940256,3.19611852753212,0.431295758942167,7.41050302783222,1.25821248810699e-13,1.4127018695581e-12
"NCU08049",364.439982839901,0.811569541987139,0.127459805752601,6.36725858159861,1.92436599684835e-10,1.34788507044144e-09
"NCU08050",211.400786285735,0.544721352072617,0.193894651495081,2.80936760180018,0.00496389316721854,0.00988826166446535
"NCU08051",428.194616377458,-0.0739763005360355,0.154947670866585,-0.477427638132949,0.633057637351889,0.691220162001162
"NCU16303",192.000448084856,-0.105450306791658,0.174366756572594,-0.604761531753078,0.545337457054453,0.60883208022024
"NCU08052",5516.07670434411,-2.60059345191117,0.480260664783869,-5.41496242062945,6.1301579300115e-08,2.90631442775132e-07
"NCU08053",1279.65984121699,0.22245859732189,0.11933558924793,1.86414294950783,0.062301632476207,0.0923825270623635
"gh3-2",2390.36502611717,-0.360496221707821,0.128564673022644,-2.80400683354383,0.0050471835332656,0.0100296068704832
"NCU08055",10397.5509052279,-0.695554377462737,0.232943183626886,-2.98594003324362,0.00282708075358059,0.00591923071812278
"NCU08056",515.480607484888,0.529510231044098,0.186614974055458,2.83744771138643,0.00454757947860587,0.00913730085929931
"NCU08057",1506.35756754085,-0.978220109331507,0.197375069433993,-4.95614827210306,7.19043522109303e-07,2.86076017987967e-06
"NCU08058",95.2625243617871,1.65797455197175,0.222896209817525,7.43832545797462,1.01969588591658e-13,1.17049091281036e-12
"NCU08059",1.90488047135437,0.666060390344608,1.06691964148043,0.6242835584322,0.532441379666261,0.596786966272683
"NCU08060",94.3496296243572,0.843416238274334,0.157438486119322,5.35711603346537,8.45608184738722e-08,3.90838420582459e-07
"NCU08062",107.447841742568,0.621881805186784,0.180217478665232,3.45072969499246,0.000559073202133212,0.00134688326746019
"NCU08063",871.931193885605,-0.566610078404579,0.0963055613051169,-5.88346166852645,4.01773178330843e-09,2.2831106004508e-08
"NCU08064",2042.35650493976,-1.06777417407467,0.170030459668216,-6.27989935543454,3.38792273375494e-10,2.26565881516429e-09
"NCU08065",368.994570222115,-0.0666209174520127,0.113543759188362,-0.586742221045306,0.55737684701564,0.620034875878646
"NCU08066",2550.66215846472,0.763964811639765,0.107248080745039,7.12334250023498,1.05340613599867e-12,1.03714265075066e-11
"ro-10",307.053966150237,-0.231446268798095,0.12965947554337,-1.78503165949239,0.0742561817474405,0.107911463406282
"NCU08067",1293.26675780529,0.0909790323086519,0.0849918196431317,1.07044457561516,0.284419243988875,0.348103181585481
"NCU08068",166.364647765862,-0.778797082582984,0.162562341003258,-4.7907595189428,1.66151167660851e-06,6.20649671847979e-06
"NCU08069",214.578809213004,-0.2028511411067,0.198048233259578,-1.02425120268974,0.305716639835538,0.37082014605611
"NCU08070",2520.17385111725,-0.0115524560815683,0.127724918526959,-0.0904479424594812,0.927931260212766,0.94215748781189
"cyt-21",893.064410903029,0.00413358597335616,0.0985578828586886,0.0419406936661054,0.966545976068003,0.973932571361717
"NCU08072",2324.08846601717,-0.135640083406463,0.11035127592482,-1.22916642575906,0.219009414135803,0.277370526125212
"NCU08073",110.550173247022,0.392514849054886,0.294249639348513,1.33395184416857,0.182219639082429,0.236425135442454
"NCU08074",14.4687842888777,-0.0804196824759924,0.980330942275252,-0.0820331981864677,0.934620314076887,0.947437964098513
"NCU08075",14.1783839785442,2.18517040545458,0.615501184012827,3.5502294101339,0.000384895585451386,0.000950740817025107
"NCU08076",373.080186012006,0.126920178573817,0.187527826975923,0.676807173743409,0.498528305979366,0.563827597245934
"NCU08077",146.54554028197,2.15042373762436,0.592892367773265,3.62700526185004,0.000286727453165366,0.000725330505712854
"NCU08078",101.258878215278,4.0543355791932,0.919445569947707,4.40954387264467,1.03588571606001e-05,3.38711023176859e-05
"NCU08079",6.47340927961605,2.91509324140799,0.891912619736652,3.2683619189834,0.00108171945172182,0.00245735429346911
"NCU08080",1.66717487013808,1.89700638883498,1.17655318654087,1.61234223028394,0.106887488467673,0.148582593671333
"NCU16305",3.81032771948337,1.89400219063352,1.13263924422824,1.67220251309944,0.0944843951078445,0.133471006669645
"NCU08081",1.7599749793391,2.46828524229282,1.26050595786775,1.95817023068112,0.0502100410300013,0.0766785679026018
"NCU08083",5.78136814177056,4.87045055285882,0.952053247000656,5.1157333565141,3.12524297437784e-07,1.31662330315218e-06
"NCU08084",35.643773766188,5.62515875843157,0.44872689775082,12.5358180813918,4.75429885579275e-36,4.37619754112924e-34
"NCU08085",36.930146241018,7.97567500352385,0.784064305788972,10.1722204985448,2.63824581531716e-24,1.00160951050776e-22
"NCU08086",11.2426358208939,5.52825898369624,0.778704618935472,7.0993016469501,1.25388864081611e-12,1.22097719245936e-11
"NCU08087",12.0753166476227,3.03646142554446,0.786347318291164,3.86147616315789,0.000112704009631421,0.000307767428484125
"NCU08089",22.7700480617406,2.18578848029428,0.373312413838081,5.85511866005703,4.76669557828061e-09,2.68215967458385e-08
"NCU16306",1076.31758408543,0.855773762985718,0.176124733727418,4.85890734864173,1.1803535023154e-06,4.51458609254855e-06
"NCU08090",600.574927627461,-0.201657412070891,0.135269192099857,-1.49078595754476,0.1360176997045,0.183685079033468
"NCU10622",165.66793358251,0.561497602524323,0.153777721278377,3.65135858339239,0.000260856724109546,0.000665232372487412
"NCU08091",1306.44576157156,0.335696451543635,0.121229588853069,2.76909667614646,0.00562119529600921,0.0110265385008367
"NCU08092",13907.432035993,0.828803731350605,0.174213660173386,4.75739807386941,1.96104217516523e-06,7.24219852501405e-06
"NCU08093",8292.46453135805,-0.106545567413652,0.119364641262945,-0.892605769064777,0.372068328628655,0.439713018705159
"NCU08094",4834.36415450624,1.18177941505878,0.139429891678182,8.47579669491847,2.33476179266956e-17,4.20300199466363e-16
"NCU08095",2478.53504911556,0.0984789660716772,0.450537699624731,0.218580967039393,0.826976480395499,0.85756292052491
"NCU08096",79.9211943355263,1.43421712285093,0.302031304184799,4.74857110166767,2.04858867766291e-06,7.52280004815846e-06
"NCU16307",10.9809002343066,1.41313885231354,0.551027439376968,2.56455259997821,0.010330891931518,0.0190870124173113
"NCU08097",191.358479740181,1.26093205110397,0.194979327569515,6.46700379379663,9.99651408473289e-11,7.3556551979441e-10
"NCU08098",76.3008037370058,0.920346438183334,0.210764402728326,4.36670721559017,1.26133623026281e-05,4.06435191501791e-05
"NCU08099",275.025827753964,0.103226628136449,0.302636084938085,0.341091605641038,0.733034620444593,0.778430430091195
"NCU08100",271.812892217278,1.54940655209785,0.314902662648751,4.92027135961722,8.64243059563634e-07,3.38515436859188e-06
"NCU08101",3.44263506640474,1.85700202301165,0.930967886017585,1.99470040900699,0.0460755647636287,0.0717702709883692
"NCU08102",25.1682956341654,4.59446553083275,0.896596964489205,5.12433759292307,2.98585584946043e-07,1.25953288037983e-06
"NCU08103",16.1889259550775,2.89979052663477,1.04535418294352,2.77397897664648,0.00553752566138139,0.0108777205311251
"NCU08105",2.83510597178461,2.46839035738273,1.23425821874448,1.99989784949024,0.0455112954326815,0.0710940937458651
"NCU08106",3.18722175436001,3.38345943594389,1.02029851333303,3.31614659016907,0.000912679415981443,0.00210470646696548
"NCU08107",3.06093452558848,2.46850606130036,1.2073391386461,2.04458381434443,0.0408959065579752,0.0649750584124354
"NCU08109",4.35587984751944,3.48421783949567,1.07427650715089,3.24331567925304,0.00118147227975745,0.00266473070586996
"NCU08110",1804.02469160935,-0.556463033971185,0.115087293055626,-4.83513878202196,1.3305277542385e-06,5.04545639257871e-06
"NCU08111",889.276717946889,0.427772128652087,0.19279233913829,2.21882327152661,0.0264987501461434,0.0446465731610985
"NCU08112",405.125722018967,0.726097348806844,0.136253261684187,5.32902728222257,9.87401651713269e-08,4.50822551041945e-07
"NCU08113",60.3125971873141,1.61168719486665,0.242398731376378,6.6489093639857,2.95272745066067e-11,2.35373870392942e-10
"cdt-2",56.963048937723,0.752413875383523,0.198371514881278,3.79295321626105,0.000148866211410754,0.000396637800309865
"msh3",306.759049340605,-0.673507216314326,0.125431985556158,-5.36950135428404,7.89546441294896e-08,3.67188018480186e-07
"NCU08116",12.8306844438738,0.945472999247996,0.750560604318222,1.25968908281141,0.207781545203461,0.264698333535732
"NCU08117",760.215698498675,1.24651534779509,0.171450841833124,7.27039502674675,3.58437759479169e-13,3.79726082436292e-12
"pex1",968.73790951775,-0.773574823360628,0.133692531941751,-5.78622315042752,7.19865721488348e-09,3.95480284040643e-08
"NCU08119",1141.11080705811,-0.488842306510184,0.171652434654667,-2.84786118818323,0.00440141178167816,0.00887101316955872
"NCU08120",1355.95289544847,0.86248307010398,0.220559626639695,3.91043040489422,9.21318038720095e-05,0.000255160377626794
"NCU08121",248.059962567344,0.498018710890366,0.17741867355531,2.8070253311589,0.00500013096173627,0.00994873070339265
"NCU10647",860.305535797086,-0.943739098445323,0.148246234224137,-6.36602409082757,1.93990976334046e-10,1.35585240407685e-09
"NCU16310",67.979550621642,-0.762639265711515,0.347284787275688,-2.1960053928481,0.0280915573898697,0.0469974837882302
"NCU07509",977.68952495799,0.488895688372178,0.118182303185465,4.13679269395307,3.52194026255236e-05,0.000104991051456533
"NCU07508",24.0207396606926,0.517073491573098,0.446650134800881,1.15767006720733,0.246998703626551,0.307904222727003
"NCU16311",42.0755615658231,0.140713322100453,0.394336738967279,0.356835435797751,0.721215006381488,0.768136100563714
"NCU07507",102.402653217343,0.798944226660421,0.251198428393478,3.18053035510618,0.00147005737112572,0.00325393597324719
"NCU07506",1697.32367213957,0.76296378679556,0.170597944894889,4.47229178092178,7.73857377431386e-06,2.58402684175155e-05
"NCU07505",446.235499924741,-0.500525283105311,0.109602225331531,-4.56674380097023,4.95358830073704e-06,1.70483813228541e-05
"major facilitator superfamily transporter protein MFS1",1723.07162823403,0.128059955963609,0.113916452167799,1.12415681428505,0.260946506472756,0.323185461240757
"NCU07503",5933.16968460147,0.996713105646974,0.234658447703297,4.24750574889689,2.16163619983193e-05,6.69345744264048e-05
"NCU07502",1019.82499166008,-0.436519922389772,0.124815433309684,-3.49732329420118,0.000469951934562448,0.00114690370823557
"NCU07501",43.7076673699987,1.46779301974472,1.06149503547588,1.38276013611942,0.166738425907732,0.218929729724363
"NCU07500",89.3338348913777,2.46871910154614,1.15706267887485,2.13360878941042,0.0328748179015176,0.053963593247831
"NCU07499",19.7845262072149,4.3597238066454,0.409970507701104,10.6342376457575,2.06510662164764e-26,9.03553601229417e-25
"mus-40",641.004843987382,-0.164989835797153,0.12369281666084,-1.33386756200684,0.182247264087341,0.236429538053475
"NCU07497",283.392799069194,1.47061109298737,0.165236271233642,8.90005010405945,5.58214827025159e-19,1.2130294136491e-17
"set-7",366.679512988591,-7.33333823262582,0.739653363411724,-9.91456078669079,3.59835588642665e-23,1.22331562313118e-21
"NCU07495",2272.33033953047,0.945120188452307,0.114320411155415,8.26729171895161,1.37036360013373e-16,2.24339557827262e-15
"NCU07494",987.964910689623,0.115236557824601,0.136970854305384,0.841321742563384,0.400167713289689,0.46714960260439
"NCU07493",1973.45220331892,0.763157581865157,0.174052640297678,4.38463662809105,1.16179546178141e-05,3.76975002347894e-05
"NCU07492",674.119011830769,-0.147420211145114,0.156339207402961,-0.942950994788796,0.34570596946327,0.412880255508488
"NCU07491",3367.0766671601,-0.711207394230781,0.362259952270977,-1.9632514987436,0.0496169580700965,0.0759869188337673
"pzl-1",1104.10137451269,-0.667658535046763,0.143236564530403,-4.66122974420436,3.14325611871208e-06,1.12011504566376e-05
"NCU16314",666.067176601145,0.701660009676632,0.188260859597898,3.72706260438463,0.000193724351999912,0.000505122528718103
"gh3-6",189.006006872564,1.70654813975304,0.209875092231092,8.13125617533485,4.24864398039681e-16,6.5904641203071e-15
