SampleID,Strain,Antibody,Condition,Treatment,Replicate,bamReads,Peaks,Peakcaller
WT_input_1,WT,input,,,1,bam_files/DiffBind/CAF/6147_136-11_ChIP_WT_input_S11.bam,,
WT_input_2,WT,input,,,2,bam_files/DiffBind/CAF/129-43_ChIP_WT_input_S42.bam,,
WT_input_3,WT,input,,,3,bam_files/DiffBind/CAF/138-72_ChIP_WT_input__6252_S71.bam,,
cac-1_input_1,cac1,input,,,1,bam_files/DiffBind/CAF/6147_136-12_ChIP_cac-1_input_S12.bam,,
cac-1_input_2,cac1,input,,,2,bam_files/DiffBind/CAF/6147_136-85_ChIP_cac-1_input_S84.bam,,
cac-1_input_3,cac1,input,,,3,bam_files/DiffBind/CAF/138-73_ChIP_cac-1_input__6252_S72.bam,,
cac-2_input_1,cac2,input,,,1,bam_files/DiffBind/CAF/6147_136-13_ChIP_cac-2_input_S13.bam,,
cac-2_input_2,cac2,input,,,2,bam_files/DiffBind/CAF/6147_136-89_ChIP_cac-2_input_S88.bam,,
cac-2_input_3,cac2,input,,,3,bam_files/DiffBind/CAF/138-74_ChIP_cac-2_input__6252_S73.bam,,
cac-3_input_1,cac3,input,,,1,bam_files/DiffBind/CAF/6147_136-14_ChIP_cac-3_input_S14.bam,,
cac-3_input_2,cac3,input,,,2,bam_files/DiffBind/CAF/138-75_ChIP_cac-3_input__6252_S74.bam,,
cac-3_input_3,cac3,input,,,3,bam_files/DiffBind/CAF/129-46_ChIP_cac-3_input_S45.bam,,
set-7_input_1,set7,input,,,1,bam_files/DiffBind/CAF/6147_136-11_ChIP_WT_input_S11.bam,,
set-7_input_2,set7,input,,,2,bam_files/DiffBind/CAF/138-76_ChIP_set-7_input__6252_S75.bam,,
set-7_input_3,set7,input,,,3,bam_files/DiffBind/CAF/149-138_ChIP_set-7_input__S162.bam,,
ash-1_input_1,ash1,input,,,1,bam_files/DiffBind/CAF/6147_136-11_ChIP_WT_input_S11.bam,,
ash-1_input_2,ash1,input,,,2,bam_files/DiffBind/CAF/129-43_ChIP_WT_input_S42.bam,,
cac-1_suz-12_input_1,cac1_suz12,input,,,1,bam_files/DiffBind/CAF/152-112_ChIP_cac-1_suz12_input__S136.bam,,
cac-1_suz-12_input_2,cac1_suz12,input,,,2,bam_files/DiffBind/CAF/152-112_ChIP_cac-1_suz12_input__S136.bam,,
suz-12_input_1,suz12,input,,,1,bam_files/DiffBind/CAF/152-114_ChIP_suz12_input__S138.bam,,
suz-12_input_2,suz12,input,,,2,bam_files/DiffBind/CAF/152-86_ChIP_suz12_input__S86.bam,,
