"NCU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",725.397249679011,1.40290912071969,0.139134223020936,10.0831347619528,6.55992034697155e-24,3.10553822539551e-23
"NCU09901",492.744655806283,2.50933840202108,0.169434245488426,14.8101016697507,1.26049519887545e-49,1.93963344409329e-48
"NCU09903",958.288765056672,-2.43265893858096,0.188902451664722,-12.8778579480727,5.99771454572132e-38,5.57861780959036e-37
"NCU11134",9.369215778412,4.13180952268408,0.635329110010416,6.50341603679445,7.85162541206172e-11,1.80978760088557e-10
"NCU09904",1823.65329922196,0.904213695625206,0.451638374944747,2.00207454854966,0.0452767143793523,0.0549458833581269
"NCU09906",6878.34610483259,-0.19228661056792,0.50057488227556,-0.384131560284857,0.70088094084928,0.725261993834598
"NCU09907",54.4394851927893,5.89102572168561,0.525421744161954,11.2119945303782,3.56077762379401e-29,2.21572112725498e-28
"NCU09908",6.04994327640963,6.14820583296427,0.778986047179804,7.89257504062221,2.96014228356659e-15,8.78142543653367e-15
"NCU09909",1982.64276089097,0.129375141298575,0.378771091145162,0.341565510998813,0.732677895978066,0.754882600956493
"NCU09910",496.721987436997,-1.10604255409148,0.135612843724418,-8.15588349683963,3.46636470491526e-16,1.0868033555867e-15
"NCU09911",4061.49767695739,0.121505033594936,0.216166773427377,0.562089314969383,0.574055167963649,0.603562098472125
"NCU09912",666.892270687027,-0.475875061584438,0.123088048232041,-3.86613540810506,0.000110573561479914,0.000169473176148213
"NCU09913",357.643220649801,2.80671161514287,0.199701121710541,14.0545610916051,7.22283214864295e-45,9.09331268055604e-44
"NCU09914",134.603537736269,2.16650241509326,0.250635442600501,8.64403849916209,5.42602589130618e-18,1.88003318968304e-17
"NCU10501",18.8526242940256,2.356637569512,0.474221031594185,4.96949188775898,6.71285790556714e-07,1.21291397378923e-06
"NCU08049",364.439982839901,0.540229697977357,0.134065886150657,4.02958361361421,5.5875738782541e-05,8.74105472665147e-05
"NCU08050",211.400786285735,0.365563757464982,0.201691236493912,1.81249202404497,0.0699102052347749,0.0831136679024855
"NCU08051",428.194616377458,-1.12761087118167,0.167994381725221,-6.71219394125956,1.91719636805731e-11,4.58145602819867e-11
"NCU16303",192.000448084856,-1.95162466647339,0.219871220251231,-8.87621701577593,6.91728167816509e-19,2.51179446720718e-18
"NCU08052",5516.07670434411,-0.115307179948485,0.479905518162984,-0.24027058573918,0.810120496361373,0.828026993819183
"NCU08053",1279.65984121699,-1.20490626169477,0.126712295130889,-9.50899248135435,1.92518019984663e-21,8.00340145287754e-21
"gh3-2",2390.36502611717,0.159642028806677,0.128448543460831,1.24284810481606,0.213923812053885,0.239804071025937
"NCU08055",10397.5509052279,-2.20527698020897,0.233501170070281,-9.44439370280334,3.57467766012156e-21,1.46793476135547e-20
"NCU08056",515.480607484888,-0.0629090173694064,0.192992751618461,-0.325965699964604,0.744450306452659,0.765718072955787
"NCU08057",1506.35756754085,1.79554519713024,0.193364622078511,9.28579994535509,1.60496971398893e-20,6.3864965331933e-20
"NCU08058",95.2625243617871,2.77673034719996,0.213008571448374,13.0357681304526,7.65917560175645e-39,7.40909140642858e-38
"NCU08059",1.90488047135437,2.21449570928909,0.86655618843952,2.55551312059397,0.0106031363593731,0.0137609472543767
"NCU08060",94.3496296243572,-1.34401425965669,0.234488687958967,-5.73168058278305,9.94404030226384e-09,2.03106554802571e-08
"NCU08062",107.447841742568,-0.645680400587316,0.212251126653721,-3.04205876673964,0.00234966016553887,0.00324312268144896
"NCU08063",871.931193885605,-1.037997834515,0.10228920523273,-10.1476771879626,3.39343953557548e-24,1.63424430151086e-23
"NCU08064",2042.35650493976,-0.193700953420842,0.169312676862349,-1.14404282662379,0.252605876513161,0.28004494229507
"NCU08065",368.994570222115,-0.202955873194793,0.120235472494897,-1.68798665637885,0.091413790424066,0.107112327749203
"NCU08066",2550.66215846472,-0.624915497332176,0.110774843988208,-5.6413123669007,1.68758879471392e-08,3.39291239852126e-08
"ro-10",307.053966150237,-0.153381135580171,0.13346653388004,-1.14921045089873,0.250469212511834,0.277834027566844
"NCU08067",1293.26675780529,-0.723087917618827,0.090877537020193,-7.95672881691498,1.76647295883268e-15,5.314670570253e-15
"NCU08068",166.364647765862,-0.293607225477634,0.160820968274034,-1.82567751350269,0.0678988522596694,0.0808209224713425
"NCU08069",214.578809213004,0.937955663526592,0.190888114479818,4.91364098850565,8.94003899301762e-07,1.59816710250775e-06
"NCU08070",2520.17385111725,1.19593506040205,0.126949510142761,9.42055671626589,4.48702570888243e-21,1.83256215326772e-20
"cyt-21",893.064410903029,-1.50797127346324,0.113066547246442,-13.3370241701679,1.40975592799875e-40,1.49024795119001e-39
"NCU08072",2324.08846601717,0.183410824133555,0.110563235467526,1.65887714264137,0.0971405514261773,0.113549821524525
"NCU08073",110.550173247022,2.65115809862603,0.227979167773309,11.6289489277468,2.93691482216212e-31,2.01091073121655e-30
"NCU08074",14.4687842888777,4.20282758021743,0.561054050684575,7.49094953523517,6.8377106568541e-14,1.87719591668333e-13
"NCU08075",14.1783839785442,4.15728964199181,0.547103755822738,7.59872254165036,2.99068209889036e-14,8.37064981034803e-14
"NCU08076",373.080186012006,-2.2394030071867,0.2152944735509,-10.4015814723514,2.43851982458847e-25,1.24243540096656e-24
"NCU08077",146.54554028197,8.41362956595928,0.454493735347354,18.5120913922587,1.64969547736055e-76,7.85174574273507e-75
"NCU08078",101.258878215278,10.5792557404276,0.785757554479237,13.4637658653361,2.55552402633785e-41,2.7890657634204e-40
"NCU08079",6.47340927961605,5.24511658204875,0.791083612324234,6.63029356231814,3.35019912630644e-11,7.88990897305623e-11
"NCU08080",1.66717487013808,3.25385579479457,1.02000159318445,3.19004971809506,0.00142248319553924,0.00200537040006883
"NCU16305",3.81032771948337,5.17653556855896,0.826659684240198,6.26199107957809,3.80092687703172e-10,8.46510923058629e-10
"NCU08081",1.7599749793391,4.23757368630039,1.07718698535019,3.93392581226067,8.35695868999982e-05,0.000129119312649768
"NCU08083",5.78136814177056,5.11734116754929,0.959046657401545,5.33586257566894,9.50914045475274e-08,1.81922908660828e-07
"NCU08084",35.643773766188,6.37211363840444,0.444737807356634,14.3277983859255,1.46697832695331e-46,1.99906529833568e-45
"NCU08085",36.930146241018,7.84236354840123,0.788493636634617,9.94600740454083,2.62504396964178e-23,1.20303212831352e-22
"NCU08086",11.2426358208939,5.48230181865833,0.791581957468104,6.92575388680361,4.33659826501698e-12,1.07829228521332e-11
"NCU08087",12.0753166476227,5.25197736750367,0.694481838138113,7.56244019510155,3.95577013460711e-14,1.1005545823599e-13
"NCU08089",22.7700480617406,2.31289120004389,0.381774425494763,6.05826646729017,1.37596326555823e-09,2.95776020754607e-09
"NCU16306",1076.31758408543,-1.60602942882271,0.186777282417558,-8.59863366698038,8.06707414568493e-18,2.76856990641744e-17
"NCU08090",600.574927627461,-1.76833443329218,0.159622600974985,-11.0782208941032,1.60020631300055e-28,9.66164170541237e-28
"NCU10622",165.66793358251,0.910383902505324,0.154452734011412,5.89425566554269,3.7637405068009e-09,7.90077799588131e-09
