"NCU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",725.397249679011,2.60166247612826,0.134832246562969,19.2955508971161,5.85377372640183e-83,3.7087837823703e-81
"NCU09901",492.744655806283,0.682307560767135,0.17211578796692,3.96423575563138,7.36314573374039e-05,0.000121375592032615
"NCU09903",958.288765056672,-1.38990359309847,0.173092861092587,-8.02981465743415,9.76200291212451e-16,3.23422283238027e-15
"NCU11134",9.369215778412,4.01090179833135,0.620008170280309,6.46911119980564,9.85810327467776e-11,2.43939928103046e-10
"NCU09904",1823.65329922196,1.17008178883954,0.451356665229284,2.59236625706005,0.00953182346676719,0.0127312801595137
"NCU09906",6878.34610483259,0.104361498704754,0.500479806255492,0.208522896229459,0.834820706935003,0.849978674482399
"NCU09907",54.4394851927893,7.02038184716445,0.51183500774066,13.7161033164843,8.13198786056506e-43,1.10970357420326e-41
"NCU09908",6.04994327640963,4.90080107741559,0.791690762561789,6.19029715789199,6.0050898677388e-10,1.41971557643633e-09
"NCU09909",1982.64276089097,0.0757037665040339,0.376761179170928,0.200933033150129,0.84075093771474,0.85565942414548
"NCU09910",496.721987436997,-0.333903771180877,0.119660488863079,-2.79042626645915,0.00526386882554191,0.00722356795088783
"NCU09911",4061.49767695739,0.776117134056131,0.214947341904986,3.61073148045348,0.000305334652488224,0.000475371023508473
"NCU09912",666.892270687027,-0.898177156426454,0.12011457696145,-7.47766989775701,7.56519322260138e-14,2.25729633862146e-13
"NCU09913",357.643220649801,2.46021361667441,0.198612994759194,12.3869720591911,3.07433562217719e-35,2.9179273020995e-34
"NCU09914",134.603537736269,3.14060881387223,0.237995117625721,13.1961060596682,9.23887946955829e-40,1.09663925771874e-38
"NCU10501",18.8526242940256,3.29894245790565,0.422574159267971,7.80677754555658,5.86686881306136e-15,1.86641796573328e-14
"NCU08049",364.439982839901,0.500958013282405,0.127329298902935,3.934349891177,8.3422184939827e-05,0.000136577902481524
"NCU08050",211.400786285735,0.436452451714733,0.191664875563051,2.27716450618598,0.0227764038136254,0.0291371931309221
"NCU08051",428.194616377458,-0.95337909597241,0.158561457091307,-6.0126787017567,1.82482493100547e-09,4.18739813071975e-09
"NCU16303",192.000448084856,-1.68718371843267,0.192736780230957,-8.75382330456548,2.06243917999133e-18,7.98857446573061e-18
"NCU08052",5516.07670434411,-3.82604015154846,0.480674934728502,-7.95972470191214,1.72422477125063e-15,5.63404591195323e-15
"NCU08053",1279.65984121699,-0.0503854877725746,0.119249200671125,-0.422522645762062,0.672643574902224,0.699454690431738
"gh3-2",2390.36502611717,0.184475144651027,0.12761470870015,1.44556334085657,0.148299715071396,0.171562760250369
"NCU08055",10397.5509052279,-1.74763898140342,0.233073664145982,-7.49822588410853,6.46873584159902e-14,1.93605692044422e-13
"NCU08056",515.480607484888,0.545511966326521,0.185299804457109,2.94394248242603,0.00324060218450584,0.00454550826828975
"NCU08057",1506.35756754085,1.48049309517291,0.193100617197911,7.6669516475731,1.7613213733568e-14,5.4452511533087e-14
"NCU08058",95.2625243617871,2.27317066882668,0.210560593009938,10.795802938869,3.60299271584876e-27,2.28275324211275e-26
