"NCU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",725.397249679011,1.74260346636331,0.134311163311133,12.9743754979365,1.70984255317579e-38,9.2170904924509e-37
"NCU09901",492.744655806283,0.633371454932824,0.168930819739101,3.74929486467307,0.000177332483719277,0.000435936770886617
"NCU09903",958.288765056672,0.90048784230046,0.166598765357124,5.40512914588629,6.47617136612411e-08,2.59819095473984e-07
"NCU11134",9.369215778412,2.44941291274416,0.622444729934294,3.93514925092662,8.3145010151289e-05,0.000215642175450858
"NCU09904",1823.65329922196,-2.53724703221071,0.452385201481715,-5.6085986542008,2.03971417716607e-08,8.78265279197233e-08
"NCU09906",6878.34610483259,-2.57461966794608,0.500597984359289,-5.14308836309302,2.70258427548211e-07,1.00034578057204e-06
"NCU09907",54.4394851927893,7.38554763253963,0.508093610727555,14.5358010347031,7.18678914324736e-48,6.37468197006041e-46
"NCU09908",6.04994327640963,3.26250555231294,0.79805535963322,4.08806922092768,4.34978373737203e-05,0.000117402046820301
"NCU09909",1982.64276089097,2.7188450887493,0.373701173849394,7.27545236409941,3.45261513552617e-13,2.59132045210222e-12
"NCU09910",496.721987436997,0.27452441058146,0.112245312498177,2.44575389806072,0.0144549631200594,0.0251402986029268
"NCU09911",4061.49767695739,2.16187273753046,0.214309611876344,10.0876144499663,6.26741059000203e-24,1.26606884320186e-22
"NCU09912",666.892270687027,1.1923529206122,0.107995769210131,11.0407373301096,2.43030618392203e-28,6.80301224723834e-27
"NCU09913",357.643220649801,1.28688034421629,0.198017446507936,6.49882304266919,8.09508121830241e-11,4.61623070993434e-10
"NCU09914",134.603537736269,0.55421976366884,0.244740738061804,2.26451782428181,0.0235422847396477,0.0391626735586851
"NCU10501",18.8526242940256,3.57178900641952,0.404383025356647,8.83268777978347,1.02189968817397e-18,1.30335624281221e-17
"NCU08049",364.439982839901,1.60069098379147,0.117568156444849,13.6150045403013,3.26125471745011e-42,2.2728615912972e-40
"NCU08050",211.400786285735,1.32675102765845,0.18018401344828,7.36331155171697,1.79402997491017e-13,1.39033760644944e-12
"NCU08051",428.194616377458,-0.350091217891815,0.149843314985385,-2.33638195955529,0.0194713433356386,0.0329886954203553
"NCU16303",192.000448084856,-0.456455701559185,0.165290951330858,-2.76152867343301,0.00575314646001021,0.01081986314771
"NCU08052",5516.07670434411,-3.09010423935513,0.479985026428654,-6.43791799579074,1.21123404745042e-10,6.79196011550217e-10
"NCU08053",1279.65984121699,-0.379762339142167,0.117696043499382,-3.22663640893044,0.00125254512105482,0.00268772437786053
"gh3-2",2390.36502611717,-0.763111044781535,0.127266600692662,-5.99616113440779,2.02036555502604e-09,9.89593710862906e-09
"NCU08055",10397.5509052279,-2.60967893552545,0.232964001595335,-11.2020694942326,3.98318276236231e-29,1.17413638103834e-27
"NCU08056",515.480607484888,0.39995259978416,0.182241745639179,2.19462669423738,0.0281903870715837,0.0461189816662377
"NCU08057",1506.35756754085,0.89571154445911,0.19276399211581,4.64667459221834,3.37328645272349e-06,1.07594494668921e-05
"NCU08058",95.2625243617871,0.883783039602411,0.210046112056701,4.20756676212048,2.58135153476805e-05,7.22082767337497e-05
"NCU08059",1.90488047135437,-1.10320497265853,1.06691929764165,-1.03400976540314,0.301131597991767,0.375049910850865
"NCU08060",94.3496296243572,-0.978899767405194,0.158196798313514,-6.18786080275285,6.09861429145634e-10,3.17017472784973e-09
"NCU08062",107.447841742568,-0.935635480032231,0.177974274944166,-5.25713887765946,1.46313822851142e-07,5.62483833553427e-07
"NCU08063",871.931193885605,-0.688697172722515,0.0911156953391234,-7.55849110473507,4.07771893479537e-14,3.3745804619846e-13
"NCU08064",2042.35650493976,-0.227566419537657,0.16771086055504,-1.35689733380727,0.174813834139837,0.233236507548528
"NCU08065",368.994570222115,0.108601264992142,0.101162221525109,1.07353578593751,0.283030791322812,0.355821599141434
"NCU08066",2550.66215846472,0.236222225594018,0.106425707613432,2.21959741580524,0.0264461078590782,0.043491433403173
"ro-10",307.053966150237,0.162052006884755,0.116879957758146,1.38648242173462,0.165599644185671,0.223078244970259
"NCU08067",1293.26675780529,-0.540797161889016,0.082457711400588,-6.5584789185061,5.43593899422777e-11,3.16836659299166e-10
"NCU08068",166.364647765862,-0.685370686707467,0.141292080252091,-4.85073675385512,1.23003711311603e-06,4.15851424555548e-06
"NCU08069",214.578809213004,-0.737293189244278,0.18745080562633,-3.93326231264122,8.38007009583967e-05,0.000217284995814796
"NCU08070",2520.17385111725,-1.26554971818073,0.127161926418688,-9.95226915652276,2.46497422645717e-23,4.7437383683516e-22
"cyt-21",893.064410903029,0.389660219246611,0.0940362076230302,4.14372537021771,3.4170893002848e-05,9.39170149376866e-05
"NCU08072",2324.08846601717,0.0657003199169619,0.108452036556522,0.60580070234754,0.544647103287349,0.618352546750601
"NCU08073",110.550173247022,2.73124255622066,0.203963673520553,13.3908284209513,6.84133868973289e-41,4.4205921586572e-39
